i,similarity_value,model_name
8251,0.790756,ViT-H-14
8301,0.79033667,ViT-H-14
8351,0.7898744,ViT-H-14
8401,0.7912247,ViT-H-14
8451,0.7887953,ViT-H-14
8501,0.7898167,ViT-H-14
8551,0.7915927,ViT-H-14
8601,0.79287314,ViT-H-14
8651,0.79265094,ViT-H-14
8701,0.7918258,ViT-H-14
8751,0.7929411,ViT-H-14
8801,0.79197776,ViT-H-14
8851,0.7910322,ViT-H-14
8901,0.79148746,ViT-H-14
8951,0.790895,ViT-H-14
9001,0.79275453,ViT-H-14
9051,0.7937737,ViT-H-14
9101,0.79356694,ViT-H-14
9151,0.7940519,ViT-H-14
9201,0.79487014,ViT-H-14
9251,0.7953603,ViT-H-14
9301,0.7948029,ViT-H-14
9351,0.7948787,ViT-H-14
9401,0.79518074,ViT-H-14
9451,0.7954055,ViT-H-14
9501,0.79517865,ViT-H-14
9551,0.795804,ViT-H-14
9601,0.7946102,ViT-H-14
9651,0.7949676,ViT-H-14
9701,0.79453087,ViT-H-14
9751,0.7926072,ViT-H-14
9801,0.79240113,ViT-H-14
9851,0.7932405,ViT-H-14
9901,0.79123497,ViT-H-14
9951,0.7908422,ViT-H-14
10001,0.7879582,ViT-H-14
10051,0.78861094,ViT-H-14
10101,0.78935665,ViT-H-14
10151,0.7905892,ViT-H-14
10201,0.78939795,ViT-H-14
10251,0.79065037,ViT-H-14
10301,0.7904599,ViT-H-14
10351,0.79138255,ViT-H-14
10401,0.79256237,ViT-H-14
10451,0.7932027,ViT-H-14
10501,0.7935442,ViT-H-14
10551,0.7932926,ViT-H-14
10601,0.79346824,ViT-H-14
10651,0.79289865,ViT-H-14
10701,0.79430485,ViT-H-14
10751,0.7948316,ViT-H-14
10801,0.79494095,ViT-H-14
10851,0.79465526,ViT-H-14
10901,0.7956036,ViT-H-14
10951,0.7950392,ViT-H-14
11001,0.79519975,ViT-H-14
11051,0.79478586,ViT-H-14
11101,0.7954223,ViT-H-14
11151,0.7963601,ViT-H-14
11201,0.7959677,ViT-H-14
11251,0.79610026,ViT-H-14
11301,0.79623985,ViT-H-14
11351,0.7962138,ViT-H-14
11401,0.79719806,ViT-H-14
11451,0.7967937,ViT-H-14
11501,0.7969219,ViT-H-14
11551,0.797814,ViT-H-14
11601,0.797328,ViT-H-14
11651,0.7984004,ViT-H-14
11701,0.7984264,ViT-H-14
11751,0.79789555,ViT-H-14
11801,0.79774934,ViT-H-14
11851,0.79777765,ViT-H-14
11901,0.7979606,ViT-H-14
11951,0.7981951,ViT-H-14
12001,0.7982676,ViT-H-14
12051,0.79770243,ViT-H-14
12101,0.79730225,ViT-H-14
12151,0.79593354,ViT-H-14
12201,0.79657936,ViT-H-14
12251,0.79552364,ViT-H-14
12301,0.7959758,ViT-H-14
12351,0.79665,ViT-H-14
12401,0.7969078,ViT-H-14
12451,0.79695165,ViT-H-14
12501,0.7968709,ViT-H-14
12551,0.79608476,ViT-H-14
12601,0.79549444,ViT-H-14
12651,0.7951205,ViT-H-14
12701,0.79483324,ViT-H-14
12751,0.7953638,ViT-H-14
12801,0.7946831,ViT-H-14
12851,0.7965685,ViT-H-14
12901,0.7967039,ViT-H-14
12951,0.7956345,ViT-H-14
1,0.54918325,ViT-L-14
51,0.7082507,ViT-L-14
101,0.72834224,ViT-L-14
151,0.6851376,ViT-L-14
201,0.6842681,ViT-L-14
251,0.64834034,ViT-L-14
301,0.7834577,ViT-L-14
351,0.78783023,ViT-L-14
401,0.79294837,ViT-L-14
451,0.79583675,ViT-L-14
501,0.7856469,ViT-L-14
551,0.76570475,ViT-L-14
601,0.6512947,ViT-L-14
651,0.59136766,ViT-L-14
701,0.39504445,ViT-L-14
751,0.27482748,ViT-L-14
801,0.5942595,ViT-L-14
851,0.66694504,ViT-L-14
901,0.7209632,ViT-L-14
951,0.7627541,ViT-L-14
1001,0.76819944,ViT-L-14
1051,0.7814566,ViT-L-14
1101,0.79122144,ViT-L-14
1151,0.7989689,ViT-L-14
1201,0.80298483,ViT-L-14
1251,0.80777663,ViT-L-14
1301,0.80185497,ViT-L-14
1351,0.806169,ViT-L-14
1401,0.8032024,ViT-L-14
1451,0.8029355,ViT-L-14
1501,0.80710435,ViT-L-14
1551,0.83841985,ViT-L-14
1601,0.83462167,ViT-L-14
1651,0.8359266,ViT-L-14
1701,0.8377831,ViT-L-14
1751,0.84138083,ViT-L-14
1801,0.83605564,ViT-L-14
1851,0.834002,ViT-L-14
1901,0.83338344,ViT-L-14
1951,0.83185005,ViT-L-14
2001,0.8344898,ViT-L-14
2051,0.8356977,ViT-L-14
2101,0.8323465,ViT-L-14
2151,0.8333713,ViT-L-14
2201,0.8360659,ViT-L-14
2251,0.83520806,ViT-L-14
2301,0.8397194,ViT-L-14
2351,0.8380226,ViT-L-14
2401,0.8380439,ViT-L-14
2451,0.83304596,ViT-L-14
2501,0.8334129,ViT-L-14
2551,0.8342341,ViT-L-14
2601,0.8352986,ViT-L-14
2651,0.83481574,ViT-L-14
2701,0.83209914,ViT-L-14
2751,0.8353845,ViT-L-14
2801,0.83305967,ViT-L-14
2851,0.8353919,ViT-L-14
2901,0.8359302,ViT-L-14
2951,0.8364003,ViT-L-14
3001,0.8306306,ViT-L-14
3051,0.82886696,ViT-L-14
3101,0.826555,ViT-L-14
3151,0.8304883,ViT-L-14
3201,0.8322753,ViT-L-14
3251,0.8501222,ViT-L-14
3301,0.8492631,ViT-L-14
3351,0.849628,ViT-L-14
3401,0.84986395,ViT-L-14
3451,0.85074365,ViT-L-14
3501,0.8517494,ViT-L-14
3551,0.85133827,ViT-L-14
3601,0.85037076,ViT-L-14
3651,0.85110724,ViT-L-14
3701,0.85334617,ViT-L-14
3751,0.8547641,ViT-L-14
3801,0.8533076,ViT-L-14
3851,0.8516751,ViT-L-14
3901,0.8513398,ViT-L-14
3951,0.8510257,ViT-L-14
4001,0.852861,ViT-L-14
4051,0.85149693,ViT-L-14
4101,0.8539562,ViT-L-14
4151,0.85297406,ViT-L-14
4201,0.8531707,ViT-L-14
4251,0.8485044,ViT-L-14
4301,0.84878075,ViT-L-14
4351,0.84913856,ViT-L-14
4401,0.84859324,ViT-L-14
4451,0.84720165,ViT-L-14
4501,0.84768736,ViT-L-14
4551,0.847242,ViT-L-14
4601,0.8473016,ViT-L-14
4651,0.84613264,ViT-L-14
4701,0.8446766,ViT-L-14
4751,0.84383965,ViT-L-14
4801,0.8429086,ViT-L-14
4851,0.8430317,ViT-L-14
4901,0.84245425,ViT-L-14
4951,0.8418954,ViT-L-14
5001,0.84157014,ViT-L-14
5051,0.8414788,ViT-L-14
5101,0.84114003,ViT-L-14
5151,0.8398199,ViT-L-14
5201,0.8380258,ViT-L-14
5251,0.8388237,ViT-L-14
5301,0.84041846,ViT-L-14
5351,0.8411571,ViT-L-14
5401,0.8404147,ViT-L-14
5451,0.83954924,ViT-L-14
5501,0.84074366,ViT-L-14
5551,0.8401294,ViT-L-14
5601,0.8395661,ViT-L-14
5651,0.8405838,ViT-L-14
5701,0.83985895,ViT-L-14
5751,0.83857316,ViT-L-14
5801,0.83747613,ViT-L-14
5851,0.8380275,ViT-L-14
5901,0.8377378,ViT-L-14
5951,0.83848274,ViT-L-14
6001,0.840196,ViT-L-14
6051,0.84092486,ViT-L-14
6101,0.84220874,ViT-L-14
6151,0.84115463,ViT-L-14
6201,0.8421785,ViT-L-14
6251,0.84187114,ViT-L-14
6301,0.84348434,ViT-L-14
6351,0.84420437,ViT-L-14
6401,0.8449372,ViT-L-14
6451,0.84498155,ViT-L-14
6501,0.84433264,ViT-L-14
6551,0.8452121,ViT-L-14
